您好播主，想了解出工打工情况，	这块 我们不是很了解
您建议他现在在本科这些基础上研究生学什么专业比较好。谢谢Gary老师	他的实习的老板给到时候应该可以根据他的表现给更好的建议 反而我给的不准哈
好的，谢谢您 您好	您好，感谢您关注与的认可
老师您好，可以加您微信吗？我孩子目前在美国宾夕法尼亚州，秋季需要投简历找工作，看视频里您也在美国是吧？谢谢您	感谢您的喜爱和支持哈，我会安排我的助理先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）我的助理也是我们公司的猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号 是的，我们公司全员都在美国 所以有时差哈
老师好，看头像这是您快乐漂亮的女儿吧 我女儿目前也在美国学习，想找暑假实习岗位，看看您那里有什么资源。 您现在美国哪里住？	哈哈，我住旧金山湾区 我们有一些实习资源 不过如果可能有费用，如果不是必要，我建议可以让孩子自己试试看找一下别花钱 会在 或者来我直播间连线！你教她
听了老师的讲解视频，感觉明白了许多 我孩子硕士现在在找暑假实习岗位 请问老师您可以把微信发来，我希望加您，请求您的帮助	不好意思Divine，平时我的时间真的比较忙，每天我也几种30分钟回复一下后台留言 您可以找到我的助理让您的孩子看看有没有什么我们可以帮到的
好的👌谢谢您 老师，我加了几次都没加上微信 您助理的微信 Gary老师孩子现硕年底毕业，想在米国找工作弄个自由卡，老师看看怎么安排好呀？ 请Gary老师费心了还需要什么请留言我，谢谢您！ 视频里说可以跟您私信？我要私信，怎么联系老师？ Gary老师我也先预约个硕士实习的，视频里您说的找到合适的实习后再付费的	您好。不好意思 我的助理也已经忙不过来了 您先加我，我尽力哈 garyxiejienan
谢谢 Gary好，想咨询孩子今年毕业情况	您好，请问希望咨询什么问题？ 没有很Get到 孩子今年毕业情况的意思
Gary好，我女儿今年5月份毕业，本科osu统计，硕士是埃默里大学商业分析，想留美国找工作 关注您好久了	感谢您关注五月份现在就要开始投简历试试看 如果遇到问题可以问我哈
谢谢您的回复，问题是目前她还没收到面试通知，找不到内推人员，我们在国内也不知道如何帮孩子尽快顺利找到工作？ 您这边看有什么资源能帮下孩子？	哈哈哈，好的啊 您可以加我助理他主要负责帮我“实现“粉丝愿望不过可能有收费，因为刚毕业的公司不会付费给我们 Garysv2024
好的，我了解一下 老师您好，关注老师一段时间了，晚上在您直播间从开始蹲到现在一直排队语音通话。我女儿国内复旦大学本科毕业，现在男加大读研，语言模型机器学习，5月毕业，工作很难找，想联系老师，通过老师的帮助推荐工作尝试下，希望加老师微信，谢谢	感谢您沈姐！ 没问题，您直接加我微信吧，我的助理微信已经爆了没办法 garyxiejienan
你好，有合作。 怎么➕微信？	感谢您的喜爱和支持哈，我会安排我的助理Justin先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）Justin也是我们公司的高级猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
谢谢☺️ 你好	你好👋 谢谢您支持哈
你好 孩子五月毕业，在银行实习，但工资特别特别低，想请教一下有没有合适的内推机会 谢啦	因为普通的银行其实只是柜台员工属于高中生也可以做
你好	你好
你好，有微信群吗 进群 己转发 相亲群？有吗 你好，老师，领英帐号发给一个 我让孩子找你 谢谢	哈哈哈，感谢 Gary Xie，他linkedin找我很容易的 相亲群当天我们直播起群 您好，请问希望咨询什么问题？
怎么加你微信	感谢您的喜爱和支持哈，我会安排我的助理Justin先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）Justin也是我们公司的高级猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
你好。我家孩子在哥大读硕士。怎样可以联系你。谢谢！	您好，您可以让他关注我的直播，我会直播的时候解答相关的问题。 或者有问题的话，在这里私信问我也可以 我会定期
你好。如果想请您帮找工作，在毕业前多长时间和您联系比较好？谢谢。	毕业前一个月 因为我们岗位都是直接现在需要加入的
给孩子相亲 怎么提交资料！谢谢	到时候现场连线！
你好👋	您好
石溪大学计算机专业24年5月毕业想在美找工作，希望加老师微信	感谢您的喜爱和支持哈，我会安排我的助理Justin先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）Justin也是我们公司的高级猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
老师好	您好！ 感谢您关注
Gary 老师好， 我刚美国本科毕业在找工作，向您咨询一下。谢谢	感谢您的喜爱和支持哈，我会安排我的助理Justin先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）Justin也是我们公司的高级猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
gary老师好！	您好
你好，看到你的视频，都是普通的孩子，很想在美国找工作，现在就业比较难，可不可以帮孩子呢？	可以找一些普通的5-6万美金的简单工作 办公室前台，销售，人事 还是机会很多的才是
但是opt要求找专业相关的工作，专业人机交互uiux的，老师公司有需要这样的专业吗？或者有能推荐的公司？	我们可以努力试试看，Garysv2024，这是我助理Justin的微信
您好，看了您的视频很有感触。我女儿在美东波士顿tufts大学读生物医学工程专业，今年大三，想找实习和实验室的工作，投了很多简历，都石沉大海，弄得很没信心，请问有没有这方面的实习介绍一下呢？	您好，今年确实很难，昨天直播人家一个CS投了1000份简历也没有机会拿到手 这个是大家都在面临的问题 感谢您的喜爱和支持哈，我会安排我的助理Justin先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）Justin也是我们公司的高级猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
感谢您的回复！我有个朋友他们全家定居日本的有日本绿卡，他儿子在美国读研，日美是同盟国，又是经济共同体，是不是可以申请美国绿卡？或者说更加容易就拿到绿卡？ Garysv2024，我已经加他了 说过于频繁，稍后再试	可能哈，但是我他不是日本出生 可能还是算中国人在他们眼中
老师好！	您好
你好盖瑞呀我一直听您的直播嘿挺喜欢你的这个直播的这些内容和风格想咨询您个问题我儿子嗯刚刚抽到了h one b嗯他是他现在在本身在洛杉矶的一家公司上班儿然后呢他现在抽到不是到十月一号才能生效吗那么现在呢他想在他想从原来的公司辞掉离离开然后重新找工作如果说他嗯在这个十月一号前就是找到工作的话他能否呃就是等于是去到新的公司去上班啊就是这个这个问题因为就就怕这个这个在原来的公司刚刚拿到这个h b呃啊会不会人家新的公司就 就是说新的公司会不会介意我们，我们在人家原来的这个公司抽的H完B，然后怎么这么快就离开了，当然我们原来公司老板是没有任何就是问题的，那是我们一个朋友当老板的，所以我们随时走，他们是支持的啊，就这个问题谢谢你 方便的话我们也可以通个电话 谢谢	收到，您早点休息，咱们明天再约时间聊聊 garyxiejienan
老师您做职业规划？	我们是猎头公司，绝大多数是在帮一些企业招比较资深的人才 职业规划不在我们公司的业务范畴内哦
谢谢老师回复 你好。我在国内是优秀的会计师。如果我想去美国做会计，需请问我需要读什么学校?我在国内是本科。我45岁了	美国大学没有年龄限制 我觉得您可以考虑第一个会计研究生，一年半左右 当然前提也是您的英文可以学习的了
好的，谢谢。我计划下个月去美国。先把英语学习。再看看怎么学习会计。 我本身还是很喜欢会计。还有企业内审。	没问题，挺好的 您有空多来逛逛我直播间支持啊
好的。 以前在hw工作过，架构师数据处理这一块的，46还能过去找到工作吗	需要身份，这个专业这个年纪过来会挺难的 考虑一下换赛道？
换什么赛道啊 投资移民吗？听说3个月拿绿卡？	投资移民有风险，请注意哈 不一定可以拿到绿卡也不一定可以拿回投资
新规出来确保可以拿到绿卡不是吗	也不一定哈，项目可梦是假的
您好 去到美国想找工作 您可否推荐呢.	您好，感谢关注，我们其实主要帮公司找人 不是帮人找工作 不过如果您有美国绿卡公民，可能我们可以帮到一点
哦 老师，我是留学生家长，有个情况想请您帮忙指点一下是否可行：孩子美本快毕业了，还没有offer，昨天有个中介说能办大厂保录，入职后付费，费用挺多的。我们一方面因为没有offer着急，觉得好不容易有个机会，如果是真实工作，挺想去的，另一方面因为费用不少，家庭就是普通工薪阶层，担心被骗，怕入职后没多久就给辞了，不知道这样的offer是否真的可以帮孩子留在美国工作、拿身份。老师您对留学的相关事项见多识广，能指点一下吗？	您好，感谢您的信任和支持 如果是真的大厂保录，虽然我不信，但是我们不排除有人很厉害可以买通美国大厂的HR或者招聘总监，让他们冒着失去年薪百万美金的可能以及被告入狱的风险，要赚您这边一笔高额的咨询费的话，我觉得也可以试试看 1. 既然是保录，那么建议可以试试看 2. 要求录取了，入职之后拿到第一个工资单再考虑支付费用 3. 如果您信得过我，到时候他们所谓的“大厂”的offer您可以给我看一下，我也可以多帮您判断一下这个offer是不是有问题。如果真的没问题，人家真的可以弄进去大厂，我觉得看看什么价格，比如弄进Google年薪12万，给人家给四五万美金我觉得也不是不能接受
谢谢老师，对方说是可以快速精准培训到通过面试笔试，费用也不只四五万美金。我们目前的心态是摇摆中，既担心这样拿到的offer不靠谱，比如后面会被裁员（对方说是长期正式工作），又没决心放弃这样一个机会，尤其是ds目前不好找工作。	其实，不考虑一下，不做DS，换一个赛道吗？
孩子专业是统计&计算机！和DS比较对口，，学了四年这个专业，如果放弃了去做不相干的工作，觉得有些可惜。	也是，能理解，不过确实现在挺难。反正如果这个中介的收费标准是拿到offer之后再给钱，您不妨可以试试看，押金什么的也别给哈 很多中介收了押金不会退的，之后说是您的问题
谢谢老师指点，您人太好了，我再考虑考虑 是可以帮助孩子找工作是吗？BC数学+心理学双学位，今年毕业，研没有适合offer	我们帮忙找工作是收费的哈，我们不会培训，也不收培训费，但是我们会在帮他拿到offer，如果孩子满意这个offer愿意去的时候收取20%第一年的基础工资作为我们的服务费。我们一般不做这个业务因为猎头主要是收取公司的20%-25%费用去挖高端有经验的人才，这个比较容易一些。如果您真的觉得需要我们的帮助且这个费用是可以接受的，我可以安排我们的猎头顾问给您和孩子聊聊
好的，我看看孩子想法，然后➕v聊？ 麻烦请您安排老师和我们对接一下	没问题，我安排哈 您有空多来逛逛我直播间支持啊
收到 老师好这么晚打扰您了，我家孩子报到武大学计算机，现在大一他4月份马上分专业，想征求一下您的意见①计科②人工智能③软件工程，选哪一个好？望回复	如果我不负责任的选的话，人工智能~
老师成不明白 老师孩子该选什么专业好？望老师推荐	如果只有这几个，我觉得就是选大预言模型或者人工智能，以后也应该不至于太快失业吧
谢谢老师 老师，我是17岁男孩的妈妈。求教：孩子不是理工科很好的那种，生化还可以，但喜欢绘画（我们知道艺术不好留下）。我们目前很想让他避开数理，学习本科的护理，然后考执照，找工作留下来。我们的认知中，这是一条不错的路，但为何身边几乎没人选择护理这个方向。是我们的判断出错了吗？ 如能解惑，非常感谢。	护理的工作其实有一两个小问题：1. 工资不高可能15-20美金一小时 2. 上升空间有限 3. 虽然缺口很大但是愿意支持H1B抽签的医院或者老人院不多
首先，非常感谢您的回答。然后，想说明的是孩子现在加拿大，想在那里拿下PR，和护士执照后，到美国尝试找工作拿绿卡。还因为护理未来不太会被人工智能影响。 也没有太期待孩子要出人头地，只希望他能有一技之长，踏踏实实地生活就好。 如果孩子有能力，感兴趣，我们也可以支撑他上护理的硕士和博士。听说北美的开业护士执照是有处方权的，甚至可以当家庭医生，医院管理层，高校教师。 再次感谢。特别期待老师能做一期北美护士各个执照层次的剖析分享。	谢谢Zoe，我正在和一个朋友聊这个事情，等她大概掌握了这个细节，我来开一个专题！
期待您的视频很棒，谢谢您给大家带来的价值。 另，老师能否帮孩子问问您的朋友：加拿大安大略省的护士执照在美国能找相应工作并移民吗？	加拿大可能要先TN过来美国工作
TN不是护士执照吧？是什么呢？	不是哈，加拿大的身份到美国来的工作许可
明白了，非常感谢老师 怎么进群	您好Cindy，感谢您的喜爱 暂时我们还没有群，不过我们这在计划一个付费的会员群，加入之后弄好了欢迎您有兴趣加入
好的，期待😊 流体力学研究生	。。。。这就很难
有啥办法呢	自己创业？不然就的读博了
谢谢老师 你好，Gary！请问抽中H1B如果学生签证过期了，是否一定要回国重新签证？	应该护照不过期就可以在美国激活，具体可以问移民律师确认一下哈
谢谢 45到50岁之间，可以做幼师，或者去养老院做院长助理吗？	你好，这个问题比较综合，我可能哪天开个直播整体回答。 此外幼师需要执照哦
好的，感谢 我目前39岁，打算45岁左右陪孩子去上学，想提前了解，45岁左右过去还能干啥，这几年能做一些准备	哈哈，45岁正值壮年！ 您可以先准备准备英文 而且主要是英文口语沟通能力，不是读写 45岁到了美国之后您可以变选一些专业课边找一些机会体验体验是不是您喜欢的工作
我在半年前就已经开始英语学习了，每天都在坚持✊，准备先学几年，然后再准备出国的事 我对出国也是毫无头绪，都不知道怎么出，到时候是要找中介吧 冒昧问问你是通过什么方式出去的呢？	我是二十岁那年，大学的美国外教要回来美国了，就问我要不要来美国，他帮我申请的学校，我不少找中介，我也没有想过来美国，是随缘碰上的
谢谢你每次都给我耐心的解答，我之前从网上差过，在美国做美甲行业好像还不错，我目前在考一个关于养老专业的本科，成人教育的这种，我想在国内先找个养老院院长的工作，积累经验，然后到美国从事养老工作，或者美甲的工作，目前我做了这两种准备 不知道可靠谱	我觉得整体计划是靠谱的！我有一个朋友（粉丝）已经在美国正在做您想做的这套，在纽约
您是说，你朋友在做美甲？ 我对养老行业很敢兴趣，一提到做养老，第一想到的就是去当护工，我不知道除了护工以外，关于养老，都还有哪些岗位，所以我准备先找个这方面的工作试试	没问题！ 您有空多来逛逛我直播间支持啊 我们线上可以聊！
你好！请问研究生读数据科学方向的前景好吗	可能，以后不太好，不过我的视频有一些我的想法您可以看看
我儿子现在是美本大三应用数学专业，目前准备申请研究生专业，想听听你的建议，谢谢！	好的Vivian，可以请关注我的视频号哈，我确实暂时无法一个一个后台回复或者私聊！ 您有空多来逛逛我直播间支持啊
Gary老师好！听您的直播，了解您的主业是猎头。我孩子现在在北卡罗莱纳州立大学CS读研，五月份就要毕业了，他还是很希望留美工作，想咨询您下您这边有推荐工作的业务吗？	1.	当然是可以联系我们，但是我们作为猎头很多岗位要求其实比较高不适合刚毕业的学生。我们也有一些企业的资源或许可以介绍心毕业的学生给一些企业的HR或者老板，但是这种岗位他们不会支付我们猎头费我们可能需要反过来对求职者收费 我们可能是会收费的，我也给您一些免费的建议 如果您还是考虑使用我们的服务，我可以让我的助理Justin跟您联系哈
非常感谢Gary老师的回复！今天假期有朋友在，没及时回复您，抱歉！我先跟孩子沟通下，需要再联系您！	没问题，感谢您的关注，有问题您再沟通 您有空多来逛逛我直播间支持啊
你好，想找工作中介，您是做这个的吗	我们有提供哈 感谢您的喜爱和支持哈，我会安排我的助理先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）我的助理也是我们公司的猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
好的，谢谢 你好，我的女儿已申请添加您的助理的微信了，她微信名字是XZ 感谢	收到，谢谢您！
诚恳希望得到指点	我们尽力！您多来逛逛我直播间啊
好的，一定 Hi Gary, Happy Monday.  I learned from Jenny, your wife that you owe a head hunter company.  Can you give me a call at 408-421-6598 when you are available?  Thank you	Hi Diana Let me add your WeChat
	你好
你好Gary，我是你的粉丝Sandy.	感谢Sandy！谢谢您喜欢哈 当然可以聊聊看 garyxiejienan
你好，想找美国实习，工作	请问你在美国有合法工作身份吗？
美国大学学生	有绿卡？还是F1？
没有绿卡，	您多来逛逛我直播间啊 可能有你要的答案
请问，你的微信号？可以加吗？	感谢您的喜爱和支持哈，我会安排我的助理Justin先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）Justin也是我们公司的高级猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
您好，老师，圣塔克拉拉大学的机器人与自动化专业在美就业怎么样？斯蒂文理工的金融辅修计算机，这两个专业在美就业为导向，怎么选？谢谢	学校很不错哈，如果一定让我二选一，我选机器人！之后跟AI结合下一步就是机器人
谢谢 您好，老师。感恩遇见！聆听了您的分享，受益。想请问您，我儿子在伊利诺伊香槟，硕士，传媒广告设计相关专业，5月份毕业。迫切想留下，请问有相关工作可以推荐一下吗？十分感谢！	传媒我觉得可以做市场运营哈 销售也不错 销售其实很缺人，但是很多学生不想做
你好，我经常看你的视频，是你的粉丝，我想咨询你一些小孩留学的事，方便吗？	感谢您的喜爱和支持哈，我会安排我的助理Justin先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）Justin也是我们公司的高级猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
福建老乡您好，小孩在波士顿读硕士，本人不会英语有点小资金，想去波士顿从事买旧房重新装修后再销售工作，不知道是否有前景。	哈哈，很有前景！旧房翻新我觉得是很赚钱的，就是辛苦点
你好	你好
我家是卡梅的信息系统管理 研一	你好，非常棒哈
岩土专业博士在北加州好找工作吗？	。。。。。。可能要入籍，然后去政府
老师您好！请问这两个学校：uiuc的商学院MSF专业，JHU的文理学院apply economics 应用经济选哪一个好！	哈哈，我自己就是JHU applied Econ的。。。 那么闭着眼睛选，JHU吧。。。
Gary您好	Hi您好
你好，计算与媒体专业未来就业怎么样？会被SORA取代吗？	哈哈，不至于，应该是会取代低级工作，高级的人才驾驭Sora去做媒体
	您好
您好	您好
美国现在什么专业好就业呢？	会计。。。以及其他人工智能做不了的工作
大厂软件，焕赛道，给点建议	哈哈，创业！ 有空可以多来我直播间~我们可以聊一下
你好，我想了解一下商业分析专业在美国的实习	感谢您的喜爱和支持哈，我会安排我的助理Justin先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）Justin也是我们公司的高级猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
老师有美国的电话或微信号吗？我儿子关于工作的事想找老师帮助	感谢您的喜爱和支持哈，我会安排我的助理Justin先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）Justin也是我们公司的高级猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
偶然看到您的视频，恰巧符合我的现状，有机会交流一下。	感谢您的喜爱和支持哈，我会安排我的助理Justin先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）Justin也是我们公司的高级猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
你好老师，请问你们有加拿大选校和选专业的服务吗？	并没有哈，我们比较熟悉美国而已
您好！我儿子在纽约州立大学计算机专业就读，今年五月份毕业，能否给予意见和建议？谢谢！	计算机今年。。。会很难 我的建议基本上都在我那个视频里了不好意思哈，努力找工作，简历投1000份很正常，让他不要低估难度就好
你好！我是留学生家长，在广州，想知询些问题，是在这里聊，还是加微信？	感谢您的喜爱和支持哈，我会安排我的助理Justin先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）Justin也是我们公司的高级猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
您好	您好
孩子今年研究生毕业 怎么加您微信	感谢您的喜爱和支持哈，我会安排我的助理Justin先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）Justin也是我们公司的高级猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
你好，想咨询一下，我女儿去年年底康奈尔大学金融工程硕士毕业，还没找到工作，OPT至今年5月15日是三个月到期，不知有什么办法可以延续她OPT的身份（注册公司不知是否来得及）？谢谢！	您好，注册公司来得及！ 您可以考虑按照我的视频让她去弄一个，基本上费用很低 可能也就几百美金，可以去看看这个网站：legalzoom.com 如果还是有担心，我们公司也可以提供全套服务帮您设立公司以及处理她身份的问题毕竟我们做了十年经验丰富，但是收费是5000美金 您可以让她看看考虑一下，其实也不难只要她自己动作快一点
好的，谢谢！能加微信详聊吗？我的微信号:w565979590，或手机13857470623	感谢您的喜爱和支持哈，我会安排我的助理Justin先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）Justin也是我们公司的高级猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
GAry老师您好，请教一下，现在去美国读硕士读什么专业比较好就业呢？	会计。。。
啊 居然是会计？会计前两年都不好就业啊 就读会计专业吗 会计不是更容易被AI取代吗	哈哈，会计一直都很好找工作啊，至少我在美国的16年都是容易的 AI比较难取代需要跟客户交流，而且产品迭代更新比较快的服务或者品类 会计的法律每年都会变，而且需要很多客户沟通，AI暂时还比较难取代会计。但是取代计算机和数据分析很快
我儿子在宾大读研一，找实习很难，有什么好途径吗？	感谢您关注和支持。是的现在美国对留学生非常不友好，后台私信我的很多爸爸妈妈的孩子都是这种情况。 我们和很多公司的HR或者创始人关系比较好，有时可以给留学生争取到一些实习机会。这是我们额外争取出来的机会，所以有些时候是有匹配的，有些时候是没有匹配的。 如果能匹配到您孩子这边的需求，我们可以收费推荐一些实习机会 您能
计算机图形与游戏技术专业 找游戏开发类似岗位	这个可能只有回国比较容易，美国可能很难找到这样的机会了目前的形式来看
大陆注册会计师CPA加律师，年龄50，行政岗位退休，可以去美找工作吗	可以的哈！有美国身份会更好 如果没有可能就麻烦一些了
谢谢老师回复，没有身份还是不妄想了	哈哈，美国也没啥好的，暂时出了工资高一点，其他生活各方面其实国内更舒服方便
请问美国化学制药数据分析硕士研究生毕业，有什么工作可推荐吗	这个确实会挺难的 考虑放宽一点，专业擦边就好
没问题，只要能有工作就行，请问你们有什么推荐吗	我有电商公司行政助理，年薪5万美金，考虑不？
可以，没问题 如果不是相关专业，可以申请工签吗	可以，我们叫做有关联
哦哦，太好了 我儿子，今年暑假毕业，现在正准备简历资料，目的是找个工作留下来即可。 好的，稍等几天，是我儿子，在美国，读研时进的Rutgers 大学，因为导师到Rowan大学，所以也跟过去，目前在根据导师安排Tulane 大学做Rowan 大学的项目，今年硕士毕业。	一般我们推荐工作，拿到offer而且确定去的话，支付20%的第一年工资作为服务费
可以	感谢您的喜爱和支持哈，我会安排我的助理先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）我的助理也是我们公司的猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
好的，最好能帮着寻找一些跟数据处理相关的工作 跟您的助理已经联系上了，他说暂时没有合适职位推荐	数据分析。。。真的是很难，我们能做的有限 感谢您的联系 也希望您可以继续关注，说不定还可以考虑创业或者以后别的工作机会
嗯 请问创业是什么情况 另外，别的工作机会主要是什么机会	感谢您的喜爱和支持哈，我会安排我的助理Justin先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）Justin也是我们公司的高级猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
请问您有微信吗？	感谢您的喜爱和支持哈，我会安排我的助理Justin先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）Justin也是我们公司的高级猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
已经加了Justin了	好的，感谢！
你好，孩子下月毕业，在硅谷找工作，你能帮助到吗？伯克利cs+business，美籍，香港银行+硅谷大厂实习经历，谢谢	美籍其实很容易找工作哈，不应该需要我们帮忙啦 1.	当然是可以联系我们，但是我们作为猎头很多岗位要求其实比较高不适合刚毕业的学生。我们也有一些企业的资源或许可以介绍心毕业的学生给一些企业的HR或者老板，但是这种岗位他们不会支付我们猎头费我们可能需要反过来对求职者收费 他英文应该不错的话，其实随便找，真的不用我们哈
感谢感谢，我会转给孩子好好学习。特别喜欢你的直播，很坦诚。我在香港，回来省亲时，咱们约饭	没问题 感谢您喜欢，我尽力继续直播，隔天5:30起床
你好！请问您是职业中介吗？我家孩子也是约翰霍普金斯的硕士，今年毕业。	哈哈，我们不算职业中介 猎头主要是帮公司找人，不是帮人找工作，虽然我们也有一些入门岗位或者实习的资源 1.	当然是可以联系我们，但是我们作为猎头很多岗位要求其实比较高不适合刚毕业的学生。我们也有一些企业的资源或许可以介绍心毕业的学生给一些企业的HR或者老板，但是这种岗位他们不会支付我们猎头费我们可能需要反过来对求职者收费
谢谢分享 请问美本建筑学毕业，留在那里容易吗？找工作好找吗？谢谢	建筑学有点难，可以往室内设计偏一点看看
好的，谢谢！目前找到了暑假的公司实习。 老师，女儿今年收到几所学校offer，准备去美国读音乐声乐博士，想留下很难吧！	yea...声乐博士。。。可以考虑申请EB2-NIW或者EB1A杰出人才绿卡 不然，很难找工作留下来 还有，找对象！
谢谢老师 请问，未来5年accounting, auditing, finance,   容易找工作吗	um...如果GPT不对这个领域重点下手的话，可能还可以，不过也有危险
Healthcare领域如何	其实还可以哈
